新农村（黑龙江）,75
东北农业大学,101
北京农业,38
河南畜牧兽医,246
现代畜牧科技,501
贵州畜牧兽医,127
黑龙江动物繁殖,622
畜牧兽医科技信息,511
当代畜禽养殖业,210
农家参谋,69
黑龙江畜牧兽医,220
今日畜牧兽医,132
江西畜牧兽医杂志,58
养殖技术顾问,696
中国奶牛,1058
中国乳业,301
山西农业（致富科技）,2
黄牛杂志,170
青海畜牧兽医杂志,297
中国牛业科学,647
中国畜牧兽医文摘,407
农民致富之友,182
中兽医学杂志,191
中国草食动物,253
畜禽业,280
新疆畜牧业,201
新疆农垦科技,39
湖北畜牧兽医,119
畜牧与饲料科学,200
兽医导刊,301
中国农业科学院,90
畜牧兽医学报,100
辽宁畜牧兽医,7
中国农业科学,45
家畜生态学报,111
河南畜牧兽医（综合版）,97
全国草食动物饲料和饲养技术研讨及产品交流会,2
中国畜牧兽医学会信息技术分会2014年学术研讨会,2
第二届全国牛奶精细化管理高峰论坛暨“金宇保灵杯”奶牛养殖效益与牛奶品质安全提升学术研讨会,7
第六届中国奶业大会,20
中国奶业协会第24次繁殖学术年会暨国家奶牛/肉牛产业技术体系第一届全国牛病防治学术研讨会,42
农村养殖技术,66
现代畜牧兽医,109
中国畜牧业,59
黑龙江畜牧兽医（上半月）,170
家畜生态,9
云南畜牧兽医,174
吉林畜牧兽医,205
中国畜牧杂志,241
河南农业科学,14
四川畜牧兽医,186
农村实用技术,46
上海畜牧兽医通讯,194
甘肃农业大学学报,23
中国畜牧兽医,192
畜牧与兽医,232
饲料博览,76
南京农业大学,184
中国兽医杂志,124
乡村科技,36
中国畜禽种业,437
上海交通大学学报(农业科学版),6
华南农业大学,48
乳业科学与技术,111
农村科技,126
现代农业科技,59
广西畜牧兽医,181
山东省中兽医研究会2012年科研协作与学术研讨会,3
中国畜牧兽医学会动物繁殖学分会第12届学术研讨会,25
中国畜牧兽医学会2011学术年会,8
首届中国奶业大会,20
广西大学,211
畜牧兽医科学（电子版）,64
内蒙古大学,37
西北农林科技大学,46
内蒙古农业大学,89
中国农业大学学报,23
浙江农业学报,10
环境与健康杂志,2
河北农业大学,97
西南大学,45
中国环境诱变剂学会风险评价专业委员会第十六届全国学术交流会,2
新农业,32
山东师范大学,29
华中农业大学,170
四川农业大学,68
当代畜牧,178
甘肃农业,14
种植与养殖,27
黑龙江畜牧兽医（下半月）,166
畜牧兽医杂志,220
首届全国奶牛精细化管理高峰论坛暨奶牛精细化饲养关键技术与设施设备研讨会,23
首届中国奶业科技发展论坛,5
甘肃畜牧兽医,168
北京农业职业学院学报,22
浙江畜牧兽医,40
广西农业生物科学,13
动物科学与动物医学,31
第十一届北京畜牧兽医青年科技工作者“新思想 新观点 新方法”论坛,7
第八届内蒙古自治区自然科学学术年会,4
中国畜牧兽医学会中兽医学分会2013年学术年会,6
第二十二次中国奶协繁殖技术研讨会,24
河南农业,13
中国动物保健,87
中国林牧渔业经济学会饲料经济专业委员会第十一届学术交流大会,4
中国农学通报,52
第十一届中国牛业发展大会,17
第六次全国动物生物技术学术研讨会,4
