物种	指标	基因
绿头鸭	产蛋量	SMAD3
绿头鸭	产蛋量	NPY
狗	交配能力	KMO
狗	精子畸形率	TNF
狗	精液品质	MC1R
狗	射精量	MC1R
狗	精子密度	MC1R
狗	精子密度	TNF
狗	初情期	GAPDH
狗	发情周期	RARG
狗	发情周期	CCND2
狗	妊娠期	CAV1
狗	繁殖率	BMP15
狗	性发育	FGF5
狗	增殖率	MB
猪	性发育	CAT
猪	性发育	CAT
猪	性发育	CD4
猪	性发育	FGFR3
猪	性发育	FSH
猪	性发育	PGR
猪	性发育	CRISP1
猪	性发育	CRISP3
猪	发情表现	FSH
猪	发情表现	FSHR
猪	精子畸形率	FSH
猪	精子畸形率	GAPDH
猪	精液品质	FSH
猪	精液品质	GAPDH
猪	射精量	CC
猪	射精量	IL6
猪	射精量	MEA1
猪	精子密度	FSH
猪	精子密度	GAPDH
猪	精子密度	CC
猪	精子密度	IL6
猪	精子活力	SPMI
猪	初情期	FSH
猪	初情期	NPY
猪	初情期	NSUN7
猪	初情期	TAC3
猪	初情期	NPY
猪	初情期	FSHR
猪	初情期	KISS1
猪	初情期	F5
猪	初情期	NPY
猪	排卵数	BMP15
猪	排卵数	FSH
猪	排卵数	FSH
猪	排卵数	SPP1
猪	排卵数	FSH
猪	排卵数	YWHAG
猪	排卵数	LIF
猪	排卵数	NCOA1
猪	排卵数	CACNA2D1
猪	受精能力	MYO5B
猪	受精能力	CAST
猪	性成熟期	D90
猪	性成熟期	SPMI
猪	性成熟期	LEPR
猪	发情周期	RARG
猪	发情周期	NPW
猪	发情周期	CCND2
猪	发情周期	INHA
猪	发情周期	INHBA
猪	妊娠期	LPL
猪	妊娠期	HMGCR
猪	妊娠期	HSD11B1
猪	妊娠期	HSD11B1
猪	妊娠期	MET
猪	窝产仔数	PCOLCE2
猪	泌乳力	PRLR
猪	泌乳力	GDF9
猪	泌乳力	F3
猪	泌乳力	F2
猪	繁殖率	BMP15
猪	繁殖率	FSH
猪	繁殖率	GDF9
猪	繁殖率	BMP15
猪	增殖率	GP5
猪	增殖率	GLI1
猪	增殖率	FTO
家鸡	繁殖周期	VIP
家鸡	受精率	HR
家鸡	产蛋率	PRLR
家鸡	产蛋率	ECD
家鸡	产蛋量	PRLR
家鸡	产蛋量	F3
家鸡	产蛋量	PRL
家鸡	产蛋量	PRL
家鸡	成活率	BOK
火鸡	产蛋量	SMAD3
火鸡	产蛋量	NPY
猫	性发育	FGF5
猫	性发育	DRA
猫	发情周期	RARG
猫	发情周期	CCND2
猫	妊娠期	CAV1
猫	受精率	CES5A
猫	繁殖率	GHR
马	性发育	CAT
马	性发育	BMP2
马	性发育	FGFR3
马	性发育	BDNF
马	性欲	NPY
马	繁殖周期	TH
马	繁殖周期	RBMX
马	繁殖周期	CP
马	精液品质	BMP15
马	精子密度	FSHR
马	精子活力	UCP2
马	精子活力	MSTN
马	精子形态	LBH
