封面链接,收费情况,追番人数,播放状态,番剧名,番剧链接
http://i0.hdslb.com/bfs/bangumi/image/4179b4398bad6f92e876e352cae21be7b8ceb8bf.png,会员专享,854.5万追番,全26话,鬼灭之刃,https://www.bilibili.com/bangumi/play/ss26801
http://i0.hdslb.com/bfs/bangumi/image/962b27ff452b5daf98038a10a6dad3c134916e7d.png,,831.3万追番,即将开播,鬼灭之刃（中配）,https://www.bilibili.com/bangumi/play/ss34004
http://i0.hdslb.com/bfs/bangumi/image/f2425cbdb07cc93bd0d3ba1c0099bfe78f5dc58a.png,会员抢先,721.7万追番,更新至第6话,Re：从零开始的异世界生活 第二季,https://www.bilibili.com/bangumi/play/ss33802
http://i0.hdslb.com/bfs/bangumi/f5d5f51b941c01f8b90b361b412dc75ecc2608d3.png,会员专享,688万追番,全14话,工作细胞,https://www.bilibili.com/bangumi/play/ss24588
http://i0.hdslb.com/bfs/bangumi/image/83ad052250e9a803e4ebaa47bef971cb079e0543.png,会员专享,678.4万追番,全12话,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,https://www.bilibili.com/bangumi/play/ss32982
http://i0.hdslb.com/bfs/bangumi/a223b1376633625be1cd214c34d8bf34a1e03770.jpg,,630.7万追番,全12话,埃罗芒阿老师,https://www.bilibili.com/bangumi/play/ss5997
http://i0.hdslb.com/bfs/bangumi/image/54d9ca94ca84225934e0108417c2a1cc16be38fb.png,会员抢先,620万追番,更新至第18话,刀剑神域 爱丽丝篇 异界战争 -终章-,https://www.bilibili.com/bangumi/play/ss32781
http://i0.hdslb.com/bfs/bangumi/a79e331b7443ed5df5a2acd345dc41d598d46ff9.jpg,会员专享,619.1万追番,全12话,欢迎来到实力至上主义的教室,https://www.bilibili.com/bangumi/play/ss6339
http://i0.hdslb.com/bfs/bangumi/320a6c9893a874e7db755ecb7316a0d0abccec49.jpg,会员专享,605.7万追番,全14话,小林家的龙女仆,https://www.bilibili.com/bangumi/play/ss5800
http://i0.hdslb.com/bfs/bangumi/451037aabcdce0379752e087720673609894161a.png,会员专享,600.7万追番,全12话,辉夜大小姐想让我告白～天才们的恋爱头脑战～,https://www.bilibili.com/bangumi/play/ss26274
http://i0.hdslb.com/bfs/bangumi/a4c0e0ccc44fe3949a734f546cf5bb07da925bad.png,会员专享,588.7万追番,全28话,关于我转生变成史莱姆这档事,https://www.bilibili.com/bangumi/play/ss25739
http://i0.hdslb.com/bfs/bangumi/1cc333ff578e5ea9fded7e454953a4e2291440c2.png,会员专享,569.4万追番,全13话,青春猪头少年不会梦到兔女郎学姐,https://www.bilibili.com/bangumi/play/ss25733
http://i0.hdslb.com/bfs/bangumi/b6e3986355efc081b7f4aaf9f576c9ce8116e193.jpg,付费观看,561.6万追番,全14话,紫罗兰永恒花园,https://www.bilibili.com/bangumi/play/ss21542
http://i0.hdslb.com/bfs/bangumi/image/85c6e348a00a54d0b86d538efb186e006a027e21.png,会员抢先,557.2万追番,更新至第19话,某科学的超电磁炮T,https://www.bilibili.com/bangumi/play/ss29325
http://i0.hdslb.com/bfs/bangumi/image/3c125e1aad08643e3eff2fb7d45e740c1a052725.png,会员专享,553.8万追番,全13话,Re：从零开始的异世界生活 新编集版,https://www.bilibili.com/bangumi/play/ss29590
http://i0.hdslb.com/bfs/bangumi/image/107eb93eff876dee16da4bf270b31c3e250e49d6.png,会员专享,549.4万追剧,2020-01-10上映,紫罗兰永恒花园外传：永远与自动手记人偶,https://www.bilibili.com/bangumi/play/ss31779?theme=movie
http://i0.hdslb.com/bfs/bangumi/7c1f3ca60da441ffbc2425409ee2a5c379264568.jpg,会员专享,527.6万追番,全25话,Re：从零开始的异世界生活,https://www.bilibili.com/bangumi/play/ss3461
http://i0.hdslb.com/bfs/bangumi/327056a886f2c7cba6175a80eed2f78098cec5b1.png,会员专享,510.6万追番,全13话,刀剑神域 爱丽丝篇 异界战争,https://www.bilibili.com/bangumi/play/ss28615
http://i0.hdslb.com/bfs/bangumi/image/82d628408f5472f1440982e880b0b4f0146862ad.png,会员抢先,491.2万追番,更新至第6话,我的青春恋爱物语果然有问题。完,https://www.bilibili.com/bangumi/play/ss32998
http://i0.hdslb.com/bfs/bangumi/14ba6643f22405e2777cca992002cc6411601334.jpg,会员专享,490.4万追番,全13话,在下坂本，有何贵干？,https://www.bilibili.com/bangumi/play/ss3450
http://i0.hdslb.com/bfs/bangumi/image/f80be7aff49a33dbf5d773ac5a669e7bfe898ad5.jpg,会员专享,488.1万追番,全1话,Re：从零开始的异世界生活 冰结之绊,https://www.bilibili.com/bangumi/play/ss31151
http://i0.hdslb.com/bfs/bangumi/image/137c9c239aed5d7666f35ab1d28528547d05544f.png,会员专享,485.6万追番,全1话,Re：从零开始的异世界生活 Memory Snow(雪之回忆),https://www.bilibili.com/bangumi/play/ss31150
http://i0.hdslb.com/bfs/bangumi/074056b8543ed2ceb53dc13a79da1eafa3fa921a.jpg,会员专享,485.6万追番,全22话,冰菓,https://www.bilibili.com/bangumi/play/ss3398
http://i0.hdslb.com/bfs/bangumi/b308ed7b60b8f7ff70f8a122adeb75914702611f.jpg,,469.5万追番,全13话,OVERLORD Ⅲ,https://www.bilibili.com/bangumi/play/ss24596
http://i0.hdslb.com/bfs/bangumi/851f979c8ebcc7583a43abd4b786c4e2e66b746b.jpg,,456.5万追番,全13话,OVERLORD Ⅱ,https://www.bilibili.com/bangumi/play/ss21466
http://i0.hdslb.com/bfs/bangumi/0f11dfac18d744518669b2d211263f03d41d619c.png,会员专享,454万追番,全16话,Angels of Death,https://www.bilibili.com/bangumi/play/ss24625
http://i0.hdslb.com/bfs/bangumi/716297d3ec59a00817ef54ad1aa842231a913b25.jpg,,453.5万追番,全12话,徒然喜欢你,https://www.bilibili.com/bangumi/play/ss6312
