2017年中国作物学会学术年会摘要集,1
西北农林科技大学,350
山东农业大学,160
四川农业大学,47
科学通报,3
草食家畜,234
农家致富,50
新农村,10
农村新技术,50
重庆市畜牧科学院;重庆金泰牧业有限公司,4
农村科学实验,60
中央民族大学,1
河北医科大学,7
当代畜牧,251
农家参谋,60
农村.农业.农民(B版),13
科学种养,34
德宏州畜牧站;芒市畜牧兽医局;陇川县畜牧兽医局;盈江县畜牧兽医局;梁河县畜牧兽医局;瑞丽市畜牧兽医局,10
现代农村科技,14
黑龙江动物繁殖,267
山东畜牧兽医,107
北京农业,37
重庆市畜牧科学院,10
吉林畜牧兽医,86
养殖技术顾问,206
农村养殖技术,111
西北农业学报,42
科技信息(科学教研),4
湖北畜牧兽医,62
现代畜牧兽医,77
中国草食动物,424
养殖与饲料,145
农民致富之友,71
专业户,39
农村科技,108
农村科技开发,10
河南科技,4
中国畜牧杂志,361
农村天地,10
科技致富向导,39
农家顾问,39
农村经济与科技,36
农村实用科技信息,59
农业科技与信息,29
江西畜牧兽医杂志,28
畜牧兽医学报,117
国外兽医学.畜禽疾病,17
畜牧兽医科学(电子版),32
阜阳师范学院,3
北京协和医学院,2
黑龙江畜牧兽医,328
2017年全国养羊生产与学术研讨会暨养羊学分会第七次全国会员代表大会论文集,35
植物医生,14
中国畜牧兽医学会兽医寄生虫学分会第十三次学术研讨会论文集,3
江苏农业学报,16
中国农业科学,50
《2011中国羊业进展》论文集,39
南方医科大学,22
广西畜牧兽医,26
安徽农业大学,55
全国养羊生产与学术研讨会议论文集（2007-2008）,31
河北农业大学学报,27
农家之友,17
中国农业文摘(畜牧),5
四川草原,53
中国畜牧兽医,103
国外畜牧学(草食家畜),146
畜牧兽医杂志,283
农业科技通讯,32
云南畜牧兽医,74
中国畜牧兽医学会动物繁殖学分会第十八届学术研讨会暨中日韩第四届动物繁殖学术交流会论文集,17
聊城大学,6
中国畜牧兽医文摘,210
芒市畜牧站;勐戛镇畜牧兽医站;风平镇畜牧兽医站;轩岗乡畜牧兽医站,8
当代畜禽养殖业,211
中国农业大学,36
辽宁畜牧兽医,111
核农学报,12
郑州牧业工程高等专科学校学报,19
延边大学,19
中国人民解放军空军军医大学,2
畜牧与饲料科学,163
吉林农业大学,50
中国畜牧兽医学会养羊学分会2014年全国养羊生产与学术研讨会议论文集,31
中国草食动物科学,259
中国农学通报,56
草业科学,38
中国畜牧兽医学会养羊学分会2012年全国养羊生产与学术研讨会议论文集,45
畜禽业,120
西南大学,88
中国畜牧兽医学会养羊学分会全国养羊生产与学术研讨会议论文集,63
中国农业大学学报,12
动物学杂志,14
中国畜牧兽医学会家畜生态学分会第七届全国代表大会暨学术研讨会论文集,10
激光生物学报,4
中华男科学杂志,1
中国实验动物学报,6
全国畜禽遗传资源保护与利用学术研讨会论文集,18
甘肃农业大学学报,34
内蒙古农业大学,120
上海畜牧兽医通讯,68
2018年全国养羊生产与学术研讨会论文集,14
广西壮族自治区百朋种畜场;,8
家畜生态学报,73
沈阳农业大学,8
首届（2015）中国驴业发展大会高层论坛论文汇编,2
畜牧与兽医,216
2015年全国养羊生产与学术研讨会论文集,23
内蒙古大学,47
第七届中国饲料营养学术研讨会论文集,2
中国畜牧兽医学会家禽生态学分会学术研讨会论文集,3
河北农业大学,68
德昌富原农牧科技有限责任公司;德昌县生产力促进中心,2
河北省畜牧兽医研究所;河北农业大学,13
西南大学学报(自然科学版),10
四川畜牧兽医,122
华中农业大学,28
中国畜牧兽医学会2008年学术年会暨第六届全国畜牧兽医青年科技工作者学术研讨会论文集,4
河南省畜牧兽医学会第七届理事会第二次会议暨2008年学术研讨会论文集,4
湖北农业科学,27
山西农业大学,78
第三军医大学,12
中国农业科学院畜牧研究所,15
家畜生态,26
中国农业科学院兰州畜牧与兽医研究所,3
国外畜牧科技,40
四川农业大学;四川省波尔山羊种羊场,2
动物医学进展,28
安徽农业,7
甘肃畜牧兽医,193
宁夏农林科技,34
中国兽医杂志,31
中国畜牧兽医学会动物繁殖学分会第十五届学术研讨会论文集（下册）,23
西南农业学报,13
2005中国羊业进展——第二届中国羊业发展大会会刊,23
南京农业大学学报,18
江苏农业科学,59
国外畜牧科技资料,21
中国农村小康科技,18
今日畜牧兽医,50
柳河县动物疫病预防控制中心,8
南方农业学报,8
陕西农业科学,20
安徽农业大学;合肥博大牧业科技开发有限责任公司;阜阳师范学院;安徽省牛羊产业协会;安徽银河山羊繁育有限公司;安徽安欣(涡阳)牧业发展有限公司;安徽省田丰牧业科技有限公司;太湖沙湖农业发展有限公司;安徽康桥农业开发有限公司;泗县天虹现代牧业有限公司,6
第五届云南省科协学术年会暨乌蒙山片区发展论坛论文集,1
中国畜禽种业,252
甘肃省畜牧兽医研究所,2
河南农业大学,50
中国畜牧业,34
上海农业学报,4
内蒙古民族大学学报(自然科学版),1
生物技术通报,5
青海畜牧兽医杂志,183
井冈山学院学报,1
江苏省农业科学院;南京农业大学;江苏省畜牧总站,19
甘肃联合大学学报(自然科学版),2
中国医科大学,10
中国畜牧兽医学会2006学术年会论文集（上册）,4
华北农学报,8
河南农业科学,18
甘肃农业大学,227
中国畜牧兽医学会2004学术年会暨第五届全国畜牧兽医青年科技工作者学术研讨会论文集（上册）,2
生物工程学报,2
南京师范大学,12
畜牧兽医科技信息,211
激光杂志,2
中国激光,2
生殖与避孕,3
新疆农垦科学院畜牧兽医研究所;新疆生产建设兵团农业局;新疆维吾尔自治区畜禽繁育改良站;新疆生产建设兵同农八师农业局;新疆生产建设兵团农七师农业局,3
中国兽医学报,47
饲料博览,26
河南科技学院学报(自然科学版),2
农技服务,38
现代农业科技,32
农业知识,47
中国农业科学院北京畜牧兽医研究所,5
