物种	指标	基因
山羊	精液品质	IGF2R
山羊	精液品质	SOX9
山羊	精液品质	GDNF
山羊	精液品质	CCK
山羊	初情期	HPSE
山羊	初情期	CAMK1G
山羊	初情期	UBA52
山羊	初情期	UBA52
山羊	初情期	GAPDH
山羊	初情期	GC
山羊	初情期	KISS1
山羊	初情期	DNMT1
山羊	初情期	MBD2
山羊	初情期	DNMT3A
山羊	初情期	MBD3
山羊	初情期	DNMT3B
山羊	初情期	MBD1
山羊	初情期	GRID1
山羊	初情期	MECP2
山羊	初情期	PTPRN2
山羊	排卵数	SRY
山羊	排卵数	GAPDH
山羊	排卵数	DCN
山羊	排卵数	OAZ1
山羊	排卵数	EPHX1
山羊	排卵数	FSHR
山羊	排卵数	TIMP1
山羊	排卵数	RUNX1
山羊	排卵数	BMP6
山羊	排卵数	RPL5
山羊	排卵数	VIM
山羊	排卵数	SF3B5
山羊	排卵数	GDF9
山羊	排卵数	BMP15
山羊	排卵数	FSHR
山羊	发情周期	FH
山羊	发情周期	FSHR
山羊	发情周期	PRLR
山羊	发情周期	CYP19A1
山羊	发情周期	BMP15
山羊	发情周期	GDF9
山羊	发情周期	KIT
山羊	发情周期	GC
山羊	发情率	GCG
山羊	发情率	PTGIS
山羊	发情率	DRD1
山羊	发情率	ESR1
山羊	发情率	SPIB
山羊	发情率	KIF26B
山羊	受胎率	CRIM1
山羊	受胎率	CEP55
山羊	受胎率	FOXM1
山羊	受胎率	VEGFA
山羊	繁殖率	GDF9
山羊	繁殖率	BMP15
山羊	产羔率	PGR
山羊	精液品质	CAT
奶牛	精液品质	TLR1
奶牛	精液品质	TLR2
奶牛	精液品质	TLR4
奶牛	精液品质	TLR6
奶牛	精液品质	TLR9
奶牛	精液品质	BMP15
奶牛	精液品质	SCS
奶牛	精液品质	HPG
奶牛	精液品质	RT
奶牛	精液品质	GC
奶牛	泌乳力	SCC
奶牛	产奶量	RT
奶牛	产奶量	PRL
奶牛	产奶量	CSN2
奶牛	产奶量	BAX
奶牛	产奶量	LALBA
奶牛	产奶量	IGFBP5
奶牛	产奶量	IGFBP6
奶牛	产奶量	LTF
水牛	繁殖周期	MYC
水牛	繁殖周期	FZD10
水牛	繁殖周期	ID4
水牛	繁殖周期	CCL27
水牛	精液品质	ODF2
水牛	精液品质	TEKT2
水牛	精液品质	TEKT4
水牛	精子活力	ODF1
水牛	精子活力	FSIP2
水牛	精子活力	PRAM1
水牛	精子活力	SDC2
水牛	精子活力	TEKT3
水牛	精子活力	CCDC40
水牛	精子活力	IDH1
水牛	精子活力	GEMIN8
水牛	精子活力	ODF2
水牛	精子活力	TEKT2
水牛	精子活力	TEKT4
水牛	受精能力	VAMP4
水牛	受精能力	SYNE2
水牛	受精能力	ODF1
水牛	受精能力	FSIP2
水牛	发情周期	ENO1
水牛	发情周期	ENDOU
水牛	妊娠期	INHA
水牛	产奶量	STAT1
水牛	产奶量	PRLR
水牛	繁殖率	FSHR
水牛	繁殖率	PCNA
水牛	繁殖率	GC
猪	性发育	FSH
猪	性发育	FSHR
猪	性发育	PGR
猪	性发育	TNB
猪	性发育	NBA
猪	性发育	KISS1
猪	性发育	KL
猪	射精量	LDL
猪	射精量	GDNF
猪	射精量	SCF
猪	射精量	CREM
猪	射精量	BAX
猪	射精量	IRF1
猪	射精量	DZIP1L
猪	射精量	TLK2
猪	初情期	NPY
猪	初情期	FSH
猪	初情期	GNRHR
猪	初情期	KISS1
猪	初情期	CYP17A1
猪	初情期	CYP19A1
猪	初情期	FSHR
猪	初情期	BMPR2
猪	初情期	PTGS2
猪	初情期	SMAD2
猪	初情期	SMAD3
猪	初情期	SMAD4
猪	初情期	CYP11A1
猪	初情期	FSH
猪	初情期	FSH
猪	初情期	FSHR
猪	排卵数	FSH
猪	排卵数	STAR
猪	排卵数	SPP1
猪	排卵数	BCL2
猪	排卵数	BNIP3L
猪	性成熟期	D30
猪	性成熟期	D90
猪	性成熟期	C1QA
猪	性成熟期	C1QB
猪	性成熟期	C1QC
猪	性成熟期	D30
猪	性成熟期	D90
猪	性成熟期	CYLD
猪	性成熟期	CENPK
猪	性成熟期	USP15
猪	性成熟期	RMI1
猪	性成熟期	STRN3
猪	性成熟期	OLIG3
猪	性成熟期	GPR180
猪	性成熟期	PLAGL2
猪	性成熟期	RIMS4
猪	性成熟期	PIK3CA
猪	性成熟期	GADD45A
猪	性成熟期	WT
猪	发情周期	SDS
猪	发情周期	NMS
猪	发情周期	FSH
猪	发情周期	PRL
猪	妊娠期	F2
猪	妊娠期	FSH
猪	妊娠期	PRLR
猪	受胎率	FUT1
猪	繁殖率	FSH
猪	繁殖率	FSH
猪	繁殖率	GDF9
猪	繁殖率	BMP15
猪	成活率	GP5
猪	成活率	CPE
