物种	指标	基因
山羊	繁殖周期	F2
山羊	繁殖周期	F2
山羊	繁殖周期	F3
山羊	初情期	UBA52
山羊	初情期	GHR
山羊	初情期	GAPDH
山羊	初情期	GAPDH
山羊	初情期	GAPDH
山羊	排卵数	GDF9
山羊	排卵数	BMP15
山羊	排卵数	GDF9
山羊	排卵数	GDF9
山羊	排卵数	BMP15
山羊	排卵数	GDF9
山羊	排卵数	BMP7
山羊	排卵数	FSHR
山羊	排卵数	GAPDH
山羊	性成熟期	CD320
山羊	发情周期	GAPDH
山羊	发情周期	FSHR
山羊	发情周期	INHA
山羊	发情周期	INHBA
山羊	发情周期	FSHR
山羊	发情周期	GAPDH
山羊	发情周期	GAPDH
山羊	发情周期	FSHR
山羊	发情周期	GAPDH
山羊	妊娠期	INSR
山羊	妊娠期	IGF1R
山羊	妊娠期	IGF2R
山羊	发情率	MSTN
山羊	发情率	FGF5
山羊	受胎率	SMAD1
山羊	受胎率	SAMD1
山羊	受胎率	CCK
山羊	受胎率	FSHR
山羊	受胎率	BMP4
山羊	受胎率	TIMP3
山羊	繁殖率	BMP15
山羊	繁殖率	GC
山羊	繁殖率	GDF9
山羊	繁殖率	BMP15
山羊	繁殖率	GDF9
山羊	窝重	LHB
山羊	产羔率	BMP15
山羊	产羔率	PGR
山羊	产羔率	BMP15
山羊	产羔率	F2
奶牛	妊娠期	SLC37A2
奶牛	妊娠期	SDS
奶牛	妊娠期	PAPPA
奶牛	妊娠期	RT
奶牛	妊娠期	R
奶牛	妊娠期	R
奶牛	妊娠期	SRY
奶牛	产犊间隔	CXCR1
奶牛	产犊间隔	SCS
奶牛	产犊间隔	MY
奶牛	产犊间隔	FY
奶牛	产犊间隔	PY
奶牛	产奶量	PIN1
奶牛	产奶量	LYZ
奶牛	产奶量	SCS
奶牛	产奶量	TG
奶牛	产奶量	CIDEC
奶牛	产奶量	EEF1D
奶牛	产奶量	EEF
奶牛	产奶量	CAT
奶牛	产奶量	LOX
奶牛	产奶量	DGAT1
奶牛	产奶量	RT
奶牛	产奶量	FAS
奶牛	产奶量	CP
奶牛	产奶量	COMMD1
奶牛	产奶量	SOD1
奶牛	产奶量	LOX
奶牛	产奶量	MAOA
奶牛	产奶量	MAOB
奶牛	产奶量	DGAT1
奶牛	产奶量	FBP2
奶牛	产奶量	SCS
奶牛	产奶量	CXCR1
奶牛	产奶量	SCS
奶牛	产奶量	GHR
奶牛	产奶量	FADS2
奶牛	产奶量	SCS
奶牛	产奶量	DGAT1
奶牛	产奶量	SCS
奶牛	产奶量	MRPL39
奶牛	产奶量	DGAT2
奶牛	产奶量	FABP3
奶牛	产奶量	FASN
奶牛	产奶量	TLR4
奶牛	产奶量	GHR
奶牛	产奶量	HSF1
奶牛	产奶量	SLC27A1
奶牛	产奶量	NKA
奶牛	产奶量	SLC11A1
奶牛	产奶量	SCS
奶牛	产奶量	FASN
奶牛	产奶量	SREBF1
奶牛	产奶量	TLR1
奶牛	产奶量	SCS
奶牛	产奶量	CM
奶牛	产奶量	HSF1
奶牛	产奶量	RT
奶牛	产奶量	CS
奶牛	产奶量	MF
奶牛	产奶量	INSR
奶牛	产奶量	PRLR
奶牛	产奶量	CSF2RB
奶牛	产奶量	IRS1
奶牛	产奶量	IRS4
奶牛	产奶量	JAK2
奶牛	产奶量	DGAT1
奶牛	产奶量	PPARGC1A
奶牛	产奶量	OLR1
奶牛	产奶量	GC
奶牛	产奶量	SCS
奶牛	产奶量	DGAT1
奶牛	产奶量	RT
奶牛	产奶量	PRL
奶牛	产奶量	CSN3
奶牛	产奶量	CASP3
奶牛	产奶量	COX2
奶牛	产奶量	BAX
奶牛	产奶量	FASN
奶牛	产奶量	TBX21
奶牛	产奶量	ITGB2
奶牛	产奶量	SCS
奶牛	产奶量	KCNN2
奶牛	产奶量	CRP
奶牛	产奶量	C6
奶牛	产奶量	STAT1
奶牛	产奶量	CXCR1
奶牛	产奶量	SCS
奶牛	产奶量	SCS
奶牛	产奶量	DGAT1
奶牛	产奶量	SCC
奶牛	产奶量	SCS
奶牛	产奶量	LYZ
奶牛	产奶量	SCS
奶牛	产奶量	TG
奶牛	产奶量	PRL
奶牛	产奶量	PRLR
奶牛	产奶量	MBL1
奶牛	产奶量	SCS
奶牛	产奶量	NUCB2
奶牛	产奶量	SCS
奶牛	产奶量	SCC
奶牛	产奶量	STAT5A
奶牛	产奶量	CP
奶牛	产奶量	SCS
奶牛	产奶量	POU1F1
奶牛	产奶量	LOX
奶牛	产奶量	SCS
奶牛	产奶量	SCS
奶牛	产奶量	DGAT1
奶牛	产奶量	DGAT2
奶牛	产奶量	DGAT1
奶牛	产奶量	DGAT1
奶牛	产奶量	GC
奶牛	产奶量	PPARGC1A
奶牛	产奶量	CSN1S2
奶牛	发情率	SRY
奶牛	受胎率	SRY
奶牛	繁殖率	TLR4
奶牛	繁殖率	TNF
奶牛	增殖率	CCK
奶牛	增殖率	RT
奶牛	增殖率	TNF
奶牛	增殖率	CSN1S1
奶牛	增殖率	CSN3
奶牛	增殖率	CAT
奶牛	增殖率	TNF
奶牛	增殖率	CSN3
奶牛	增殖率	JAK2
奶牛	增殖率	SCD
奶牛	增殖率	FABP3
奶牛	增殖率	SCD
奶牛	增殖率	PRLR
奶牛	增殖率	TG
奶牛	增殖率	PPARG
奶牛	增殖率	SCD
奶牛	增殖率	CSN1S1
奶牛	增殖率	CSN3
奶牛	增殖率	LCFA
奶牛	增殖率	RGR
奶牛	增殖率	CSN3
奶牛	增殖率	FASN
奶牛	增殖率	CSN1S1
奶牛	增殖率	CSN3
奶牛	增殖率	FASN
奶牛	增殖率	SCD
奶牛	增殖率	FABP3
奶牛	增殖率	PPARG
奶牛	增殖率	SREBF1
奶牛	增殖率	F12
奶牛	增殖率	RGR
奶牛	增殖率	FASN
奶牛	增殖率	SCD
奶牛	增殖率	FABP3
奶牛	增殖率	PPARG
奶牛	增殖率	CD36
家鸡	产蛋率	T3
家鸡	产蛋率	T4
水牛	精子畸形率	TNF
水牛	精子畸形率	HSF1
水牛	精子畸形率	FOS
水牛	精子畸形率	JUN
水牛	精液品质	ODF2
水牛	精液品质	TEKT2
水牛	精液品质	TEKT4
水牛	产奶量	STAT1
水牛	产奶量	PRLR
水牛	产奶量	PRLR
水牛	产奶量	DGAT1
水牛	产奶量	DGAT1
水牛	产犊率	FST
猪	性发育	FSH
猪	性发育	NTF3
猪	性发育	ND5
猪	性发育	COX3
猪	性发育	COX1
猪	精子畸形率	SPATA6
猪	精子畸形率	FSH
猪	精子畸形率	GAPDH
猪	精液品质	MGP
猪	射精量	IL6
猪	射精量	CC
猪	精子活力	TNF
猪	精子活力	SPMI
猪	精子活力	CRISP2
猪	精子活力	TNF
猪	初情期	CPM
猪	初情期	NPY
猪	初情期	FSH
猪	初情期	F2
猪	初情期	LIN28B
猪	初情期	TMEM38B
猪	初情期	RAB23
猪	初情期	F2
猪	初情期	FSH
猪	初情期	FSHR
猪	初情期	NPY
猪	初情期	SPMI
猪	排卵数	FSH
猪	排卵数	BMP15
猪	排卵数	YWHAG
猪	排卵数	CACNA2D1
猪	排卵数	FSH
猪	哺乳性能	IGF1
猪	哺乳性能	IGF1R
猪	哺乳性能	EIF4E
猪	哺乳性能	RPS6
猪	哺乳性能	MSTN
猪	哺乳性能	FSH
猪	性成熟期	D30
猪	性成熟期	D90
猪	性成熟期	D30
猪	性成熟期	D90
猪	性成熟期	D30
猪	性成熟期	D90
猪	妊娠期	CP
猪	妊娠期	F2
猪	妊娠期	FSH
猪	妊娠期	PRLR
猪	妊娠期	FSH
猪	妊娠期	INSR
猪	妊娠期	FOXO1
猪	妊娠期	HSD11B1
猪	妊娠期	FUT1
猪	妊娠期	TG
猪	妊娠期	LDL
猪	妊娠期	HDL
猪	窝产仔数	GGTA1
猪	窝产仔数	F3
猪	窝产仔数	GGTA1
猪	窝产仔数	PRLR
猪	窝产仔数	CLGN
猪	窝产仔数	RBP4
猪	窝产仔数	BMPR1B
猪	窝产仔数	CXCL10
猪	窝产仔数	ESR2
猪	窝产仔数	GNRHR
猪	窝产仔数	MAN2B2
猪	窝产仔数	FSH
猪	窝产仔数	FSH
猪	窝产仔数	PRLR
猪	窝产仔数	RBP4
猪	窝产仔数	NCOA1
猪	窝产仔数	LEP
猪	窝产活仔数	CAPZB
猪	窝产活仔数	MSH3
猪	窝产活仔数	CITED2
猪	窝产活仔数	HSD17B7
猪	窝产活仔数	IMF
猪	泌乳力	GDF9
猪	泌乳力	CC
猪	受胎率	SRY
猪	繁殖率	HLCS
猪	繁殖率	BTD
猪	繁殖率	LPIN1
猪	繁殖率	FGF1
猪	繁殖率	FGF10
猪	繁殖率	FGFR1
猪	繁殖率	PRLR
猪	繁殖率	FSH
猪	繁殖率	GDF9
猪	繁殖率	BMP15
猪	繁殖率	CC
猪	繁殖率	FSH
猪	繁殖率	FSH
猪	繁殖率	FSH
猪	成活率	ETEC
猪	成活率	MUC13
猪	成活率	F2
猪	成活率	PRV
猪	成活率	PRV
猪	成活率	MC4R
猪	成活率	LYZ
猪	成活率	RBP4
猪	成活率	PRLR
猪	成活率	FSH
猪	成活率	SPF
猪	机能障碍	GP5
猪	机能障碍	SDS
猪	机能障碍	SDS
猪	窝重	RBC
猪	窝重	HGB
猪	窝重	PTGS2
猪	窝重	CD14
猪	窝重	TNF
猪	窝重	PRLR
猪	窝重	FSH
猪	窝重	FSH
猪	窝重	NCOA1
猪	窝重	FUT1
猪	窝重	RBP4
猪	窝重	TNB
猪	窝重	NBA
猪	窝重	GGCT
猪	窝重	LIF
猪	窝重	RBP4
猪	窝重	PGR
猪	窝重	PTGS2
猪	窝重	CC
猪	窝重	FSH
猪	窝重	FSH
猪	窝重	VEGFA
猪	窝重	HIF1A
猪	窝重	EPAS1
猪	窝重	RBP4
猪	窝重	CC
猪	窝重	MMP20
猪	窝重	FSH
猪	窝重	NCOA1
猪	窝重	SLA
猪	窝重	NBA
猪	窝重	TNB
猪	窝重	FSH
猪	窝重	FUT1
猪	窝重	SLA
猪	窝重	CC
猪	窝重	SLA
猪	窝重	FSH
猪	窝重	PRLR
猪	窝重	LHB
猪	窝重	RYR1
马	排卵数	GDF9
马	排卵数	GDF9
马	妊娠期	TNF
马	妊娠期	PI3
马	受胎率	SRY
猫	受精率	CES5A
猫	机能障碍	NQO1
